Date,BDI,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,Panamax_lag_1,Supramax_lag_1,Handysize_lag_1,BDI_mean_7,BDI_mean_20,BDI_mean_60,BDI_std_7,BDI_std_20,BDI_std_60,BDI_change_1,BDI_change_3,BDI_change_7,BDI_change_14,BDI_pct_change_1,BDI_pct_change_3,BDI_pct_change_7,BDI_pct_change_14,BDI_vs_mean_7,BDI_vs_mean_20,BDI_vs_mean_60,BDI_vs_mean_20_pct,BDI_vs_mean_60_pct,BDI_volatility_ratio,BDI_long_volatility_ratio,Panamax_change_1,Supramax_change_1,Handysize_change_1,Panamax_vs_BDI,Supramax_vs_BDI,Handysize_vs_BDI,Panamax_Supramax_spread,Supramax_Handysize_spread,Panamax_Handysize_spread,month,quarter,day_of_week,month_sin,month_cos,BDI_target_7
2012-07-23,1022.0,1037.0,1053.0,1074.0,1121.0,1063.0,884.0,1156.0,1192.0,657.0,1070.142857142857,1076.05,1051.0166666666669,33.79067214205013,61.736686184624126,96.93095422525604,-15.0,-52.0,-99.0,-41.0,-0.0144648023143684,-0.0484171322160148,-0.088314005352364,-0.0385700846660395,-48.14285714285711,-54.04999999999996,-29.01666666666688,-0.0502300078992611,-0.0276081888964655,0.057373436350192,0.092225896410069,-27.0,-20.0,-9.0,1.1311154598825832,1.1663405088062622,0.6428571428571429,-36.0,535.0,499.0,7,3,0,-0.4999999999999997,-0.8660254037844388,878.0
2012-07-24,1003.0,1022.0,1037.0,1053.0,1110.0,1103.0,893.0,1134.0,1173.0,647.0,1054.857142857143,1077.15,1048.4666666666667,36.82131887659065,60.12904981442063,96.13152477990891,-19.0,-50.0,-107.0,-100.0,-0.0185909980430528,-0.0474833808167141,-0.0963963963963964,-0.0906618313689936,-51.85714285714289,-74.15000000000009,-45.4666666666667,-0.0688390660539387,-0.0433649138424366,0.0558223551171337,0.091687726311352,-22.0,-19.0,-10.0,1.1306081754735793,1.1694915254237288,0.6450648055832503,-39.0,526.0,487.0,7,3,1,-0.4999999999999997,-0.8660254037844388,861.0
2012-07-25,982.0,1003.0,1022.0,1037.0,1102.0,1138.0,902.0,1109.0,1156.0,640.0,1037.7142857142858,1076.85,1045.5833333333333,39.07989374653158,60.61029528671652,95.4742474226273,-21.0,-55.0,-120.0,-156.0,-0.0209371884346959,-0.0530376084860173,-0.1088929219600726,-0.1370826010544815,-55.71428571428578,-94.84999999999992,-63.58333333333326,-0.088080976923434,-0.0608113493265321,0.0562848078067665,0.0913119446139736,-25.0,-17.0,-7.0,1.129327902240326,1.1771894093686357,0.6517311608961304,-47.0,516.0,469.0,7,3,2,-0.4999999999999997,-0.8660254037844388,852.0
2012-07-26,958.0,982.0,1003.0,1022.0,1093.0,1157.0,912.0,1088.0,1133.0,631.0,1018.4285714285714,1075.05,1042.35,40.533348997517415,63.65819499074577,95.0934999294205,-24.0,-64.0,-135.0,-199.0,-0.0244399185336049,-0.0626223091976516,-0.1235132662397072,-0.1719965427830596,-60.428571428571445,-117.04999999999995,-84.34999999999991,-0.1088786568066601,-0.0809229145680432,0.0592141714252786,0.091229913109244,-21.0,-23.0,-9.0,1.1356993736951984,1.1826722338204594,0.6586638830897703,-45.0,502.0,457.0,7,3,3,-0.4999999999999997,-0.8660254037844388,843.0
2012-07-27,933.0,958.0,982.0,1003.0,1074.0,1162.0,924.0,1058.0,1099.0,617.0,998.2857142857144,1071.5,1038.75,43.257809644506125,69.5371918662071,95.07617374280744,-25.0,-70.0,-141.0,-229.0,-0.0260960334029227,-0.069790628115653,-0.1312849162011172,-0.1970740103270223,-65.28571428571445,-138.5,-105.75,-0.1292580494633691,-0.1018050541516245,0.0648970526049529,0.0915294091386834,-30.0,-34.0,-14.0,1.1339764201500535,1.1779206859592712,0.6613076098606645,-41.0,482.0,441.0,7,3,4,-0.4999999999999997,-0.8660254037844388,836.0
2012-07-30,915.0,933.0,958.0,982.0,1053.0,1160.0,938.0,1031.0,1069.0,602.0,978.5714285714286,1066.6,1034.7166666666667,45.55164520579557,76.93565322299028,95.10780531997148,-18.0,-67.0,-138.0,-245.0,-0.0192926045016077,-0.0682281059063136,-0.1310541310541311,-0.2112068965517241,-63.57142857142856,-151.5999999999999,-119.7166666666667,-0.1421338833677104,-0.115699950066846,0.0721316831267488,0.0919167617415119,-27.0,-30.0,-15.0,1.126775956284153,1.1683060109289618,0.6579234972677596,-38.0,467.0,429.0,7,3,0,-0.4999999999999997,-0.8660254037844388,812.0
2012-07-31,897.0,915.0,933.0,958.0,1037.0,1146.0,954.0,1010.0,1047.0,593.0,958.5714285714286,1058.3,1030.3833333333334,46.34960317292998,85.78927671921531,95.36461548718653,-18.0,-61.0,-140.0,-249.0,-0.0196721311475409,-0.0636743215031315,-0.1350048216007714,-0.2172774869109948,-61.57142857142856,-161.29999999999995,-133.38333333333344,-0.1524142492676934,-0.129450204616405,0.0810632870823162,0.0925525601997831,-21.0,-22.0,-9.0,1.1259754738015608,1.1672240802675586,0.6610925306577481,-37.0,454.0,417.0,7,3,1,-0.4999999999999997,-0.8660254037844388,790.0
2012-08-01,878.0,897.0,915.0,933.0,1022.0,1121.0,972.0,982.0,1032.0,580.0,938.0,1047.05,1025.7333333333331,45.453272709480856,93.98066710488791,95.88673874253942,-19.0,-55.0,-144.0,-243.0,-0.0211817168338906,-0.0589496248660236,-0.1409001956947162,-0.2167707404103479,-60.0,-169.04999999999995,-147.73333333333312,-0.1614536077551215,-0.1440270375666188,0.0897575732819711,0.0934811569698486,-28.0,-15.0,-13.0,1.1184510250569475,1.1753986332574031,0.6605922551252847,-50.0,452.0,402.0,8,3,2,-0.8660254037844385,-0.5000000000000004,774.0
2012-08-02,861.0,878.0,897.0,915.0,1003.0,1110.0,978.0,954.0,1023.0,570.0,917.7142857142856,1033.2,1020.6666666666666,43.24239542286328,100.0844906224933,96.43328538988418,-17.0,-54.0,-142.0,-249.0,-0.0193621867881549,-0.0590163934426229,-0.1415752741774676,-0.2243243243243243,-56.71428571428555,-172.20000000000005,-159.66666666666663,-0.1666666666666667,-0.1564337034617896,0.0968684578227771,0.0944806845753274,-28.0,-9.0,-10.0,1.10801393728223,1.1881533101045296,0.662020905923345,-69.0,453.0,384.0,8,3,3,-0.8660254037844385,-0.5000000000000004,764.0
2012-08-03,852.0,861.0,878.0,897.0,982.0,1102.0,978.0,931.0,1010.0,558.0,899.1428571428571,1017.95,1015.6,38.71015616706757,103.40949513568158,97.1855119286153,-9.0,-45.0,-130.0,-250.0,-0.0104529616724738,-0.0501672240802675,-0.1323828920570264,-0.2268602540834845,-47.14285714285711,-165.95000000000005,-163.60000000000002,-0.1630237241514809,-0.1610870421425758,0.1015860259695285,0.0956927057193927,-23.0,-13.0,-12.0,1.0927230046948355,1.1854460093896713,0.6549295774647887,-79.0,452.0,373.0,8,3,4,-0.8660254037844385,-0.5000000000000004,750.0
2012-08-06,843.0,852.0,861.0,878.0,958.0,1093.0,978.0,910.0,995.0,552.0,882.7142857142857,1002.0,1010.55,33.63883809786025,104.61609013815932,98.1621669329008,-9.0,-35.0,-115.0,-250.0,-0.0105633802816901,-0.0398633257403189,-0.1200417536534447,-0.2287282708142726,-39.71428571428567,-159.0,-167.54999999999995,-0.1586826347305389,-0.1658008015437138,0.1044072755869853,0.0971373677036275,-21.0,-15.0,-6.0,1.0794780545670226,1.180308422301305,0.6548042704626335,-85.0,443.0,358.0,8,3,0,-0.8660254037844385,-0.5000000000000004,728.0
