Date,BDI,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,BDI_mean_7,BDI_mean_20,BDI_mean_60,BDI_std_7,BDI_std_20,BDI_std_60,BDI_change_1,BDI_change_3,BDI_change_7,BDI_change_14,BDI_pct_change_1,BDI_pct_change_3,BDI_pct_change_7,BDI_pct_change_14,BDI_vs_mean_7,BDI_vs_mean_20,BDI_vs_mean_60,BDI_vs_mean_20_pct,BDI_vs_mean_60_pct,BDI_volatility_ratio,BDI_long_volatility_ratio,month,quarter,day_of_week,month_sin,month_cos,BDI_target_7
2010-03-26,3098.0,3177.0,3243.0,3280.0,3427.0,3259.0,2571.0,3272.8571428571427,3237.8,3028.0,108.97312906006532,220.43058341632687,288.96929635739525,-79.0,-182.0,-329.0,-161.0,-0.0248662259993704,-0.0554878048780488,-0.0960023344032682,-0.0494016569499846,-174.85714285714266,-139.80000000000018,70.0,-0.04317746618074,0.023117569352708,0.0680803580876912,0.095432396419219,3,1,4,1.0,6.123233995736766e-17,2947.0
2010-03-29,3021.0,3098.0,3177.0,3243.0,3396.0,3210.0,2566.0,3219.285714285714,3250.85,3026.016666666667,128.73061573910996,197.15163146540976,288.5956934775453,-77.0,-222.0,-375.0,-189.0,-0.024854744996772,-0.0684551341350601,-0.1104240282685512,-0.0588785046728972,-198.28571428571425,-229.8499999999999,-5.016666666666879,-0.0707045849547041,-0.0016578450217833,0.0606461791425042,0.0953714818086082,3,1,0,1.0,6.123233995736766e-17,2922.0
2010-03-30,2982.0,3021.0,3098.0,3177.0,3379.0,3230.0,2598.0,3162.5714285714284,3260.35,3021.2166666666667,133.9836521655466,177.47328190314374,286.858737553407,-39.0,-195.0,-397.0,-248.0,-0.012909632571996,-0.0613786591123701,-0.1174903817697543,-0.0767801857585139,-180.57142857142844,-278.3499999999999,-39.2166666666667,-0.0853742696336282,-0.0129804217947515,0.0544338129044868,0.094948085226175,3,1,1,1.0,6.123233995736766e-17,2913.0
2010-03-31,2998.0,2982.0,3021.0,3098.0,3337.0,3316.0,2661.0,3114.1428571428573,3264.7,3016.866666666667,121.07219412596542,169.33961516183072,285.1657541582312,16.0,-100.0,-339.0,-318.0,0.0053655264922871,-0.0322788896061975,-0.101588252921786,-0.0958986731001206,-116.14285714285734,-266.6999999999998,-18.866666666666788,-0.081692039084755,-0.0062537290345391,0.0518698854908048,0.0945238174789178,3,1,2,1.0,6.123233995736766e-17,2911.0
2010-04-01,2991.0,2998.0,2982.0,3021.0,3280.0,3506.0,2704.0,3072.8571428571427,3258.2,3014.233333333333,103.0168733289628,177.44668584053215,284.6539598111331,-7.0,-30.0,-289.0,-515.0,-0.0023348899266177,-0.0099304865938431,-0.088109756097561,-0.1468910439247005,-81.85714285714266,-267.1999999999998,-23.23333333333312,-0.0820084709348719,-0.0077078748603845,0.0544615695293512,0.0944366040489455,4,2,3,0.8660254037844387,-0.4999999999999998,2928.0
2010-04-02,2991.0,2991.0,2998.0,2982.0,3243.0,3574.0,2714.0,3036.8571428571427,3245.65,3011.75,73.43348139966989,187.2575695891093,284.1877288945413,0.0,9.0,-252.0,-583.0,0.0,0.0030181086519114,-0.0777058279370952,-0.1631225517627308,-45.85714285714266,-254.6500000000001,-20.75,-0.078458860320737,-0.0068896820785257,0.0576949361727571,0.0943596676000801,4,2,4,0.8660254037844387,-0.4999999999999998,2966.0
2010-04-06,2981.0,2991.0,2991.0,2998.0,3177.0,3498.0,2721.0,3008.8571428571427,3231.75,3008.9666666666667,41.52681291016373,196.3133571882601,283.6479655516357,-10.0,-17.0,-196.0,-517.0,-0.0033433634236041,-0.0056704469646431,-0.0616934214667925,-0.1477987421383647,-27.857142857142662,-250.75,-27.966666666666697,-0.0775895412702096,-0.0092944421672999,0.0607452176648132,0.0942675665682468,4,2,1,0.8660254037844387,-0.4999999999999998,3001.0
2010-04-07,2947.0,2981.0,2991.0,2991.0,3098.0,3427.0,2724.0,2987.285714285714,3218.6,3005.4166666666665,22.246455041295288,206.39650139833472,283.0579560746794,-34.0,-44.0,-151.0,-480.0,-0.0114055686011405,-0.0147107990638581,-0.0487411233053582,-0.1400641960898745,-40.28571428571422,-271.5999999999999,-58.41666666666652,-0.0843845150065245,-0.019437127408845,0.0641261733046463,0.0941826001080314,4,2,2,0.8660254037844387,-0.4999999999999998,3009.0
2010-04-08,2922.0,2947.0,2981.0,2991.0,3021.0,3396.0,2707.0,2973.1428571428573,3203.2,3001.2,27.97277588077109,216.7328212096009,282.37250310268274,-25.0,-69.0,-99.0,-474.0,-0.00848320325755,-0.0230692076228685,-0.0327706057596822,-0.1395759717314487,-51.14285714285734,-281.1999999999998,-79.19999999999982,-0.0877872127872127,-0.026389444222311,0.0676613452827175,0.0940865330876591,4,2,3,0.8660254037844387,-0.4999999999999998,3002.0
2010-04-09,2913.0,2922.0,2947.0,2981.0,2982.0,3379.0,2711.0,2963.285714285714,3183.05,2995.833333333333,35.48104792568072,224.2954994034226,280.9097910975395,-9.0,-68.0,-69.0,-466.0,-0.0030800821355235,-0.0228111372022811,-0.0231388329979879,-0.137910624445102,-50.28571428571422,-270.0500000000002,-82.83333333333303,-0.0848400119382354,-0.0276495132127954,0.0704655909908492,0.0937668287390952,4,2,4,0.8660254037844387,-0.4999999999999998,2998.0
2010-04-12,2911.0,2913.0,2922.0,2947.0,2998.0,3337.0,2738.0,2950.8571428571427,3153.3,2989.366666666667,36.516793266604274,218.59289245439373,278.2659967939874,-2.0,-36.0,-87.0,-426.0,-0.0006865774116031,-0.012215812690872,-0.0290193462308205,-0.127659574468085,-39.85714285714266,-242.30000000000015,-78.36666666666679,-0.0768401357308217,-0.0262151403307278,0.0693219460420491,0.0930852678250646,4,2,0,0.8660254037844387,-0.4999999999999998,3009.0
2010-04-13,2928.0,2911.0,2913.0,2922.0,2991.0,3280.0,2760.0,2941.8571428571427,3121.0,2983.25,32.51885899714101,200.1026052593474,275.4532551318134,17.0,6.0,-63.0,-352.0,0.005839917554105,0.002053388090349,-0.0210631895687061,-0.1073170731707316,-13.857142857142662,-193.0,-55.25,-0.0618391541172701,-0.0185200703930277,0.0641149007559588,0.0923332791860599,4,2,1,0.8660254037844387,-0.4999999999999998,3006.0
2010-04-14,2966.0,2928.0,2911.0,2913.0,2991.0,3243.0,2792.0,2938.285714285714,3094.4,2979.2166666666667,27.15212874228933,181.8797752131288,273.87378583021007,38.0,53.0,-25.0,-277.0,0.0129781420765027,0.0181943014074836,-0.0083584085590103,-0.0854147394387911,27.71428571428578,-128.4000000000001,-13.216666666666695,-0.0414943123061013,-0.0044362891811606,0.0587770731686688,0.0919281195270155,4,2,2,0.8660254037844387,-0.4999999999999998,3013.0
2010-04-15,3001.0,2966.0,2928.0,2911.0,2981.0,3177.0,2911.0,2941.1428571428573,3073.1,2976.6,32.8503098485023,165.04414082618015,272.88491396775026,35.0,90.0,20.0,-176.0,0.0118004045852999,0.0309172105805564,0.0067091580006708,-0.0553981743783443,59.85714285714266,-72.09999999999991,24.40000000000009,-0.0234616511014935,0.0081972720553652,0.053706075567401,0.0916767163769906,4,2,3,0.8660254037844387,-0.4999999999999998,3020.0
2010-04-16,3009.0,3001.0,2966.0,2928.0,2947.0,3098.0,3121.0,2950.0,3053.75,2973.9166666666665,41.82503237695177,146.88121767354238,271.7401108653402,8.0,81.0,62.0,-89.0,0.0026657780739753,0.0276639344262294,0.021038344078724,-0.0287282117495157,59.0,-44.75,35.083333333333485,-0.0146541137945149,0.0117970129178693,0.0480986386159778,0.0913744873590966,4,2,4,0.8660254037844387,-0.4999999999999998,3203.0
2010-04-19,3002.0,3009.0,3001.0,2966.0,2922.0,3021.0,3242.0,2961.428571428572,3034.9,2970.55,43.78301475403544,125.59161051431089,270.087520341218,-7.0,36.0,80.0,-19.0,-0.0023263542705217,0.0121375590020229,0.0273785078713211,-0.0062893081761006,40.57142857142799,-32.90000000000009,31.449999999999815,-0.0108405548782497,0.0105872649845987,0.0413824542865698,0.0909217216815801,4,2,0,0.8660254037844387,-0.4999999999999998,3329.0
