Model,Validation_MAE,Validation_RMSE,Test_MAE,Test_RMSE
Ridge Regression (alpha=1),275.1491125444465,362.57127917853495,175.52201349625867,251.38814327984966
Ridge Regression (alpha=10),275.0726575746029,361.9133057258636,175.55822720371322,251.92648850121552
Ridge Regression (alpha=100),267.9821219721882,352.5436896753389,176.88906071141537,254.69830207043418
Lasso Regression (alpha=0.1),273.580918849123,360.76418647095227,175.76882845174902,251.8923521347635
Lasso Regression (alpha=1),270.3176845340072,355.86576444860464,176.54675348234215,253.2852347252393
"Elastic Net (alpha=0.1, l1_ratio=0.5)",267.67403095971395,352.18495300138625,176.9705579573177,254.85633413873512
"Elastic Net (alpha=1, l1_ratio=0.5)",260.72006249629464,343.2598373858455,179.91421509340873,258.44099470071865
