Date,BDI,BCI,Panamax,Supramax,Handysize,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,Panamax_lag_1,Supramax_lag_1,Handysize_lag_1,BDI_mean_7,BDI_mean_20,BDI_mean_60,BDI_std_7,BDI_std_20,BDI_std_60,BDI_target_7,BDI_change_1,BDI_change_3,BDI_change_7,BDI_change_14,BDI_pct_change_1,BDI_pct_change_3,BDI_pct_change_7,BDI_pct_change_14,BDI_vs_mean_7,BDI_vs_mean_20,BDI_vs_mean_60,BDI_vs_mean_20_pct,BDI_vs_mean_60_pct,BDI_volatility_ratio,BDI_long_volatility_ratio,Panamax_change_1,Supramax_change_1,Handysize_change_1,Panamax_vs_BDI,Supramax_vs_BDI,Handysize_vs_BDI,Panamax_Supramax_spread,Supramax_Handysize_spread,Panamax_Handysize_spread,month,quarter,day_of_week,month_sin,month_cos
2010-01-04,3140.0,,,,,,,,,,,,,,,,,,,,3175.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0.49999999999999994,0.8660254037844387
2010-01-05,3270.0,,,,,3140.0,,,,,,,,,,,,,,,3235.0,130.0,,,,0.04140127388535042,,,,,,,,,,,,,,,,,,,,1,1,1,0.49999999999999994,0.8660254037844387
2010-01-06,3259.0,,,,,3270.0,3140.0,,,,,,,,,,,,,,3299.0,-11.0,,,,-0.0033639143730886945,,,,,,,,,,,,,,,,,,,,1,1,2,0.49999999999999994,0.8660254037844387
2010-01-07,3149.0,,,,,3259.0,3270.0,3140.0,,,,,,,,,,,,,3295.0,-110.0,9.0,,,-0.033752684872660366,0.0028662420382166154,,,,,,,,,,,,,,,,,,,1,1,3,0.49999999999999994,0.8660254037844387
2010-01-08,3140.0,,,,,3149.0,3259.0,3270.0,,,,,,,,,,,,,3208.0,-9.0,-130.0,,,-0.0028580501746586773,-0.03975535168195721,,,,,,,,,,,,,,,,,,,1,1,4,0.49999999999999994,0.8660254037844387
2010-01-11,3148.0,,,,,3140.0,3149.0,3259.0,,,,,,,,,,,,,3158.0,8.0,-111.0,,,0.002547770700636942,-0.03405952746241181,,,,,,,,,,,,,,,,,,,1,1,0,0.49999999999999994,0.8660254037844387
2010-01-12,3160.0,,,,,3148.0,3140.0,3149.0,,,,,,,3180.8571428571427,,,57.62068081117101,,,3170.0,12.0,11.0,,,0.003811944091486552,0.0034931724356939142,,,-20.857142857142662,,,,,,,,,,,,,,,,1,1,1,0.49999999999999994,0.8660254037844387
2010-01-13,3175.0,,,,,3160.0,3148.0,3140.0,3140.0,,,,,,3185.8571428571427,,,54.94066063013974,,,3204.0,15.0,35.0,35.0,,0.004746835443038,0.011146496815286566,0.011146496815286566,,-10.857142857142662,,,,,,,,,,,,,,,,1,1,2,0.49999999999999994,0.8660254037844387
2010-01-14,3235.0,,,,,3175.0,3160.0,3148.0,3270.0,,,,,,3180.8571428571427,,,47.02987905374111,,,3223.0,60.0,87.0,-35.0,,0.018897637795275646,0.02763659466327817,-0.010703363914373099,,54.14285714285734,,,,,,,,,,,,,,,,1,1,3,0.49999999999999994,0.8660254037844387
2010-01-15,3299.0,,,,,3235.0,3175.0,3160.0,3259.0,,,,,,3186.5714285714284,,,59.01089487785886,,,3205.0,64.0,139.0,40.0,,0.019783616692426564,0.04398734177215191,0.012273703590058194,,112.42857142857156,,,,,,,,,,,,,,,,1,1,4,0.49999999999999994,0.8660254037844387
